T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
3.27	8	120
3.26	18	110
3.25	12	116
3.24	14	114
3.23	10	118
3.22	12	116
3.21	14	114
3.2	24	104
3.19	12	116
3.18	12	116
3.17	18	110
3.16	18	110
3.15	12	116
3.14	12	116
3.13	12	116
3.12	12	116
3.11	12	116
3.1	10	118
3.09	14	114
3.08	10	118
3.07	16	112
3.06	14	114
3.05	16	112
3.04	8	120
3.03	16	112
3.02	16	112
3.01	12	116
3	16	112
2.99	8	120
2.98	24	104
2.97	12	116
2.96	8	120
2.95	10	118
2.94	14	114
2.93	12	116
2.92	16	112
2.91	14	114
2.9	14	114
2.89	12	116
2.88	14	114
2.87	12	116
2.86	20	108
2.85	10	118
2.84	14	114
2.83	10	118
2.82	14	114
2.81	14	114
2.8	8	120
2.79	6	122
2.78	12	116
2.77	4	124
2.76	8	120
2.75	18	110
2.74	8	120
2.73	8	120
2.72	14	114
2.71	14	114
2.7	12	116
2.69	14	114
2.68	12	116
2.67	8	120
2.66	10	118
2.65	8	120
2.64	14	114
2.63	12	116
2.62	4	124
2.61	12	116
2.6	8	120
2.59	12	116
2.58	8	120
2.57	12	116
2.56	10	118
2.55	10	118
2.54	8	120
2.53	6	122
2.52	12	116
2.51	6	122
2.5	18	110
2.49	10	118
2.48	6	122
2.47	16	112
2.46	8	120
2.45	8	120
2.44	18	110
2.43	18	110
2.42	14	114
2.41	14	114
2.4	8	120
2.39	14	114
2.38	4	124
2.37	10	118
2.36	10	118
2.35	8	120
2.34	10	118
2.33	8	120
2.32	14	114
2.31	14	114
2.3	8	120
2.29	14	114
2.28	12	116
2.27	8	120
2.26	12	116
2.25	6	122
2.24	10	118
2.23	6	122
2.22	6	122
2.21	14	114
2.2	6	122
2.19	14	114
2.18	6	122
2.17	12	116
2.16	6	122
2.15	6	122
2.14	8	120
2.13	10	118
2.12	14	114
2.11	12	116
2.1	10	118
2.09	8	120
2.08	6	122
2.07	12	116
2.06	6	122
2.05	12	116
2.04	4	124
2.03	16	112
2.02	10	118
2.01	12	116
2	12	116
1.99	8	120
1.98	6	122
1.97	4	124
1.96	12	116
1.95	6	122
1.94	12	116
1.93	4	124
1.92	4	124
1.91	6	122
1.9	6	122
1.89	8	120
1.88	4	124
1.87	12	116
1.86	4	124
1.85	8	120
1.84	12	116
1.83	10	118
1.82	6	122
1.81	4	124
1.8	8	120
1.79	6	122
1.78	6	122
1.77	6	122
1.76	8	120
1.75	2	126
1.74	6	122
1.73	12	116
1.72	4	124
1.71	8	120
1.7	4	124
1.69	10	118
1.68	6	122
1.67	8	120
1.66	8	120
1.65	8	120
1.64	4	124
1.63	8	120
1.62	4	124
1.61	4	124
1.6	8	120
1.59	6	122
1.58	4	124
1.57	2	126
1.56	2	126
1.55	10	118
1.54	6	122
1.53	4	124
1.52	4	124
1.51	8	120
1.5	4	124
1.49	8	120
1.48	4	124
1.47	6	122
1.46	2	126
1.45	4	124
1.44	6	122
1.43	2	126
1.42	4	124
1.41	2	126
1.4	4	124
1.39	4	124
1.38	4	124
1.37	10	118
1.36	12	116
1.35	4	124
1.34	6	122
1.33	10	118
1.32	4	124
1.31	0	128
1.3	6	122
1.29	6	122
1.28	0	128
1.27	4	124
1.26	2	126
1.25	4	124
1.24	2	126
1.23	6	122
1.22	4	124
1.21	4	124
1.2	2	126
1.19	6	122
1.18	6	122
1.17	0	128
1.16	2	126
1.15	2	126
1.14	2	126
1.13	4	124
1.12	6	122
1.11	0	128
1.1	2	126
1.09	2	126
1.08	4	124
1.07	0	128
1.06	2	126
1.05	0	128
1.04	2	126
1.03	0	128
1.02	4	124
1.01	2	126
1	6	122
0.99	2	126
0.98	0	128
0.97	2	126
0.96	0	128
0.95	2	126
0.94	0	128
0.93	0	128
0.92	0	128
0.91	2	126
0.9	0	128
0.89	0	128
0.88	2	126
0.87	0	128
0.86	0	128
0.85	2	126
0.84	4	124
0.83	0	128
0.82	0	128
0.81	0	128
0.8	4	124
0.79	2	126
0.78	0	128
0.77	0	128
0.76	2	126
0.75	2	126
0.74	0	128
0.73	0	128
0.72	2	126
0.71	2	126
0.7	0	128
0.69	0	128
0.68	2	126
0.67	2	126
0.66	0	128
0.65	0	128
0.64	0	128
0.63	0	128
0.62	2	126
0.61	0	128
0.6	0	128
0.59	0	128
0.58	0	128
0.57	0	128
0.56	0	128
0.55	0	128
0.54	0	128
0.53	0	128
0.52	0	128
0.51	0	128
0.5	0	128
0.49	0	128
0.48	0	128
0.47	0	128
0.46	0	128
0.45	0	128
0.44	0	128
0.43	0	128
0.42	0	128
0.41	0	128
0.4	0	128
0.39	0	128
0.38	0	128
0.37	0	128
0.36	0	128
0.35	0	128
0.34	0	128
0.33	0	128
0.32	0	128
0.31	0	128
0.3	0	128
0.29	0	128
0.28	0	128
0.27	0	128
0.26	0	128
0.25	0	128
0.24	0	128
0.23	0	128
0.22	0	128
0.21	0	128
0.2	0	128
0.19	0	128
0.18	0	128
0.17	0	128
0.16	0	128
0.15	0	128
0.14	0	128
0.13	0	128
0.12	0	128
0.11	0	128
0.1	0	128
0.09	0	128
0.08	0	128
0.07	0	128
0.06	0	128
0.05	0	128
0.04	0	128
0.03	0	128
0.02	0	128
0.01	0	128
