T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
1.83	120	1680
1.82	104	1696
1.81	116	1684
1.8	106	1694
1.79	96	1704
1.78	98	1702
1.77	106	1694
1.76	82	1718
1.75	76	1724
1.74	104	1696
1.73	96	1704
1.72	90	1710
1.71	90	1710
1.7	100	1700
1.69	108	1692
1.68	96	1704
1.67	92	1708
1.66	114	1686
1.65	108	1692
1.64	98	1702
1.63	82	1718
1.62	98	1702
1.61	92	1708
1.6	104	1696
1.59	86	1714
1.58	92	1708
1.57	74	1726
1.56	84	1716
1.55	88	1712
1.54	92	1708
1.53	80	1720
1.52	92	1708
1.51	68	1732
1.5	70	1730
1.49	74	1726
1.48	64	1736
1.47	72	1728
1.46	60	1740
1.45	74	1726
1.44	78	1722
1.43	54	1746
1.42	74	1726
1.41	54	1746
1.4	68	1732
1.39	70	1730
1.38	66	1734
1.37	62	1738
1.36	68	1732
1.35	68	1732
1.34	68	1732
1.33	70	1730
1.32	68	1732
1.31	80	1720
1.3	50	1750
1.29	46	1754
1.28	52	1748
1.27	44	1756
1.26	64	1736
1.25	70	1730
1.24	52	1748
1.23	44	1756
1.22	48	1752
1.21	60	1740
1.2	42	1758
1.19	42	1758
1.18	44	1756
1.17	44	1756
1.16	42	1758
1.15	50	1750
1.14	42	1758
1.13	50	1750
1.12	40	1760
1.11	36	1764
1.1	40	1760
1.09	34	1766
1.08	38	1762
1.07	32	1768
1.06	38	1762
1.05	36	1764
1.04	42	1758
1.03	40	1760
1.02	36	1764
1.01	30	1770
1	28	1772
0.99	46	1754
0.98	30	1770
0.97	28	1772
0.96	34	1766
0.95	24	1776
0.94	10	1790
0.93	24	1776
0.92	24	1776
0.91	28	1772
0.9	22	1778
0.89	14	1786
0.88	16	1784
0.87	22	1778
0.86	20	1780
0.85	16	1784
0.84	16	1784
0.83	20	1780
0.82	18	1782
0.81	16	1784
0.8	12	1788
0.79	14	1786
0.78	10	1790
0.77	12	1788
0.76	10	1790
0.75	8	1792
0.74	2	1798
0.73	6	1794
0.72	10	1790
0.71	6	1794
0.7	10	1790
0.69	10	1790
0.68	6	1794
0.67	6	1794
0.66	6	1794
0.65	4	1796
0.64	4	1796
0.63	6	1794
0.62	6	1794
0.61	2	1798
0.6	4	1796
0.59	0	1800
0.58	4	1796
0.57	6	1794
0.56	4	1796
0.55	2	1798
0.54	0	1800
0.53	0	1800
0.52	0	1800
0.51	0	1800
0.5	0	1800
0.49	0	1800
0.48	0	1800
0.47	2	1798
0.46	0	1800
0.45	0	1800
0.44	0	1800
0.43	0	1800
0.42	0	1800
0.41	0	1800
0.4	0	1800
0.39	0	1800
0.38	2	1798
0.37	0	1800
0.36	0	1800
0.35	0	1800
0.34	0	1800
0.33	0	1800
0.32	0	1800
0.31	0	1800
0.3	0	1800
0.29	0	1800
0.28	0	1800
0.27	0	1800
0.26	0	1800
0.25	0	1800
0.24	0	1800
0.23	0	1800
0.22	0	1800
0.21	0	1800
0.2	0	1800
0.19	0	1800
0.18	0	1800
0.17	0	1800
0.16	0	1800
0.15	0	1800
0.14	0	1800
0.13	0	1800
0.12	0	1800
0.11	0	1800
0.1	0	1800
0.09	0	1800
0.08	0	1800
0.07	0	1800
0.06	0	1800
0.05	0	1800
0.04	0	1800
0.03	0	1800
0.02	0	1800
0.01	0	1800
