T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
2.78	686	6514
2.77	654	6546
2.76	670	6530
2.75	692	6508
2.74	726	6474
2.73	626	6574
2.72	698	6502
2.71	648	6552
2.7	688	6512
2.69	630	6570
2.68	650	6550
2.67	616	6584
2.66	642	6558
2.65	694	6506
2.64	682	6518
2.63	596	6604
2.62	686	6514
2.61	660	6540
2.6	670	6530
2.59	636	6564
2.58	602	6598
2.57	668	6532
2.56	646	6554
2.55	686	6514
2.54	602	6598
2.53	628	6572
2.52	660	6540
2.51	660	6540
2.5	612	6588
2.49	534	6666
2.48	616	6584
2.47	652	6548
2.46	554	6646
2.45	580	6620
2.44	612	6588
2.43	600	6600
2.42	636	6564
2.41	590	6610
2.4	628	6572
2.39	554	6646
2.38	572	6628
2.37	598	6602
2.36	562	6638
2.35	592	6608
2.34	554	6646
2.33	572	6628
2.32	604	6596
2.31	562	6638
2.3	568	6632
2.29	558	6642
2.28	620	6580
2.27	628	6572
2.26	530	6670
2.25	568	6632
2.24	596	6604
2.23	550	6650
2.22	558	6642
2.21	608	6592
2.2	602	6598
2.19	518	6682
2.18	548	6652
2.17	498	6702
2.16	524	6676
2.15	500	6700
2.14	536	6664
2.13	492	6708
2.12	510	6690
2.11	536	6664
2.1	492	6708
2.09	532	6668
2.08	512	6688
2.07	510	6690
2.06	500	6700
2.05	582	6618
2.04	536	6664
2.03	496	6704
2.02	468	6732
2.01	480	6720
2	486	6714
1.99	512	6688
1.98	526	6674
1.97	500	6700
1.96	468	6732
1.95	464	6736
1.94	464	6736
1.93	454	6746
1.92	466	6734
1.91	438	6762
1.9	488	6712
1.89	452	6748
1.88	434	6766
1.87	448	6752
1.86	414	6786
1.85	456	6744
1.84	402	6798
1.83	416	6784
1.82	434	6766
1.81	416	6784
1.8	416	6784
1.79	416	6784
1.78	410	6790
1.77	376	6824
1.76	416	6784
1.75	432	6768
1.74	388	6812
1.73	446	6754
1.72	414	6786
1.71	380	6820
1.7	384	6816
1.69	424	6776
1.68	374	6826
1.67	372	6828
1.66	382	6818
1.65	396	6804
1.64	360	6840
1.63	406	6794
1.62	364	6836
1.61	364	6836
1.6	360	6840
1.59	364	6836
1.58	350	6850
1.57	312	6888
1.56	352	6848
1.55	306	6894
1.54	340	6860
1.53	334	6866
1.52	350	6850
1.51	318	6882
1.5	306	6894
1.49	296	6904
1.48	314	6886
1.47	312	6888
1.46	302	6898
1.45	262	6938
1.44	300	6900
1.43	272	6928
1.42	272	6928
1.41	256	6944
1.4	290	6910
1.39	258	6942
1.38	238	6962
1.37	242	6958
1.36	316	6884
1.35	276	6924
1.34	238	6962
1.33	238	6962
1.32	240	6960
1.31	244	6956
1.3	226	6974
1.29	252	6948
1.28	244	6956
1.27	234	6966
1.26	238	6962
1.25	274	6926
1.24	206	6994
1.23	192	7008
1.22	220	6980
1.21	242	6958
1.2	196	7004
1.19	172	7028
1.18	172	7028
1.17	148	7052
1.16	190	7010
1.15	178	7022
1.14	178	7022
1.13	160	7040
1.12	158	7042
1.11	162	7038
1.1	146	7054
1.09	156	7044
1.08	136	7064
1.07	184	7016
1.06	158	7042
1.05	164	7036
1.04	116	7084
1.03	122	7078
1.02	158	7042
1.01	146	7054
1	130	7070
0.99	110	7090
0.98	122	7078
0.97	116	7084
0.96	108	7092
0.95	124	7076
0.94	108	7092
0.93	116	7084
0.92	90	7110
0.91	104	7096
0.9	82	7118
0.89	68	7132
0.88	94	7106
0.87	70	7130
0.86	76	7124
0.85	68	7132
0.84	88	7112
0.83	86	7114
0.82	60	7140
0.81	72	7128
0.8	64	7136
0.79	66	7134
0.78	58	7142
0.77	54	7146
0.76	50	7150
0.75	44	7156
0.74	46	7154
0.73	34	7166
0.72	40	7160
0.71	20	7180
0.7	30	7170
0.69	40	7160
0.68	26	7174
0.67	18	7182
0.66	34	7166
0.65	28	7172
0.64	18	7182
0.63	18	7182
0.62	24	7176
0.61	16	7184
0.6	12	7188
0.59	10	7190
0.58	18	7182
0.57	12	7188
0.56	4	7196
0.55	6	7194
0.54	14	7186
0.53	2	7198
0.52	2	7198
0.51	6	7194
0.5	4	7196
0.49	2	7198
0.48	2	7198
0.47	2	7198
0.46	4	7196
0.45	0	7200
0.44	2	7198
0.43	0	7200
0.42	2	7198
0.41	2	7198
0.4	2	7198
0.39	2	7198
0.38	0	7200
0.37	0	7200
0.36	0	7200
0.35	0	7200
0.34	0	7200
0.33	0	7200
0.32	0	7200
0.31	0	7200
0.3	0	7200
0.29	0	7200
0.28	0	7200
0.27	0	7200
0.26	0	7200
0.25	0	7200
0.24	0	7200
0.23	0	7200
0.22	0	7200
0.21	0	7200
0.2	0	7200
0.19	0	7200
0.18	0	7200
0.17	0	7200
0.16	0	7200
0.15	0	7200
0.14	0	7200
0.13	0	7200
0.12	0	7200
0.11	0	7200
0.1	0	7200
0.09	0	7200
0.08	0	7200
0.07	0	7200
0.06	0	7200
0.05	0	7200
0.04	0	7200
0.03	0	7200
0.02	0	7200
0.01	0	7200
