T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
0.21	0	512
0.2	0	512
0.19	0	512
0.18	0	512
0.17	0	512
0.16	0	512
0.15	0	512
0.14	0	512
0.13	0	512
0.12	0	512
0.11	0	512
0.1	0	512
0.09	0	512
0.08	0	512
0.07	0	512
0.06	0	512
0.05	0	512
0.04	0	512
0.03	0	512
0.02	0	512
0.01	0	512
