T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
3.12	478	4522
3.11	526	4474
3.1	518	4482
3.09	566	4434
3.08	488	4512
3.07	530	4470
3.06	508	4492
3.05	510	4490
3.04	526	4474
3.03	536	4464
3.02	536	4464
3.01	504	4496
3	540	4460
2.99	546	4454
2.98	484	4516
2.97	466	4534
2.96	522	4478
2.95	508	4492
2.94	480	4520
2.93	506	4494
2.92	484	4516
2.91	496	4504
2.9	474	4526
2.89	508	4492
2.88	498	4502
2.87	474	4526
2.86	468	4532
2.85	504	4496
2.84	442	4558
2.83	530	4470
2.82	486	4514
2.81	468	4532
2.8	450	4550
2.79	474	4526
2.78	440	4560
2.77	478	4522
2.76	468	4532
2.75	474	4526
2.74	448	4552
2.73	482	4518
2.72	454	4546
2.71	452	4548
2.7	424	4576
2.69	472	4528
2.68	480	4520
2.67	458	4542
2.66	486	4514
2.65	482	4518
2.64	466	4534
2.63	432	4568
2.62	476	4524
2.61	456	4544
2.6	480	4520
2.59	452	4548
2.58	454	4546
2.57	422	4578
2.56	418	4582
2.55	428	4572
2.54	424	4576
2.53	438	4562
2.52	430	4570
2.51	454	4546
2.5	466	4534
2.49	458	4542
2.48	430	4570
2.47	448	4552
2.46	398	4602
2.45	454	4546
2.44	404	4596
2.43	418	4582
2.42	378	4622
2.41	442	4558
2.4	426	4574
2.39	390	4610
2.38	402	4598
2.37	414	4586
2.36	428	4572
2.35	422	4578
2.34	374	4626
2.33	394	4606
2.32	428	4572
2.31	364	4636
2.3	404	4596
2.29	372	4628
2.28	398	4602
2.27	370	4630
2.26	386	4614
2.25	368	4632
2.24	346	4654
2.23	398	4602
2.22	396	4604
2.21	352	4648
2.2	372	4628
2.19	370	4630
2.18	378	4622
2.17	376	4624
2.16	360	4640
2.15	380	4620
2.14	354	4646
2.13	328	4672
2.12	422	4578
2.11	350	4650
2.1	342	4658
2.09	362	4638
2.08	334	4666
2.07	356	4644
2.06	340	4660
2.05	340	4660
2.04	330	4670
2.03	358	4642
2.02	340	4660
2.01	356	4644
2	312	4688
1.99	318	4682
1.98	346	4654
1.97	332	4668
1.96	318	4682
1.95	320	4680
1.94	366	4634
1.93	340	4660
1.92	294	4706
1.91	318	4682
1.9	326	4674
1.89	314	4686
1.88	338	4662
1.87	312	4688
1.86	336	4664
1.85	306	4694
1.84	332	4668
1.83	296	4704
1.82	282	4718
1.81	304	4696
1.8	326	4674
1.79	286	4714
1.78	284	4716
1.77	272	4728
1.76	302	4698
1.75	290	4710
1.74	304	4696
1.73	294	4706
1.72	282	4718
1.71	272	4728
1.7	274	4726
1.69	280	4720
1.68	270	4730
1.67	258	4742
1.66	280	4720
1.65	284	4716
1.64	222	4778
1.63	232	4768
1.62	254	4746
1.61	246	4754
1.6	242	4758
1.59	246	4754
1.58	244	4756
1.57	238	4762
1.56	218	4782
1.55	224	4776
1.54	216	4784
1.53	212	4788
1.52	252	4748
1.51	240	4760
1.5	230	4770
1.49	218	4782
1.48	218	4782
1.47	246	4754
1.46	218	4782
1.45	188	4812
1.44	198	4802
1.43	204	4796
1.42	200	4800
1.41	178	4822
1.4	184	4816
1.39	178	4822
1.38	208	4792
1.37	176	4824
1.36	174	4826
1.35	156	4844
1.34	162	4838
1.33	176	4824
1.32	172	4828
1.31	168	4832
1.3	150	4850
1.29	150	4850
1.28	146	4854
1.27	170	4830
1.26	142	4858
1.25	152	4848
1.24	150	4850
1.23	132	4868
1.22	172	4828
1.21	126	4874
1.2	146	4854
1.19	166	4834
1.18	128	4872
1.17	144	4856
1.16	158	4842
1.15	122	4878
1.14	144	4856
1.13	142	4858
1.12	120	4880
1.11	106	4894
1.1	102	4898
1.09	90	4910
1.08	104	4896
1.07	102	4898
1.06	110	4890
1.05	92	4908
1.04	104	4896
1.03	86	4914
1.02	98	4902
1.01	92	4908
1	84	4916
0.99	66	4934
0.98	82	4918
0.97	78	4922
0.96	86	4914
0.95	62	4938
0.94	66	4934
0.93	86	4914
0.92	80	4920
0.91	64	4936
0.9	72	4928
0.89	48	4952
0.88	50	4950
0.87	52	4948
0.86	50	4950
0.85	50	4950
0.84	30	4970
0.83	36	4964
0.82	52	4948
0.81	52	4948
0.8	44	4956
0.79	24	4976
0.78	40	4960
0.77	38	4962
0.76	40	4960
0.75	30	4970
0.74	34	4966
0.73	32	4968
0.72	34	4966
0.71	12	4988
0.7	22	4978
0.69	18	4982
0.68	20	4980
0.67	18	4982
0.66	26	4974
0.65	16	4984
0.64	10	4990
0.63	8	4992
0.62	12	4988
0.61	16	4984
0.6	6	4994
0.59	10	4990
0.58	6	4994
0.57	8	4992
0.56	10	4990
0.55	4	4996
0.54	6	4994
0.53	6	4994
0.52	0	5000
0.51	6	4994
0.5	4	4996
0.49	4	4996
0.48	2	4998
0.47	4	4996
0.46	4	4996
0.45	0	5000
0.44	0	5000
0.43	4	4996
0.42	4	4996
0.41	0	5000
0.4	0	5000
0.39	2	4998
0.38	0	5000
0.37	0	5000
0.36	0	5000
0.35	0	5000
0.34	0	5000
0.33	0	5000
0.32	0	5000
0.31	0	5000
0.3	0	5000
0.29	0	5000
0.28	0	5000
0.27	0	5000
0.26	0	5000
0.25	0	5000
0.24	0	5000
0.23	0	5000
0.22	0	5000
0.21	0	5000
0.2	0	5000
0.19	0	5000
0.18	0	5000
0.17	0	5000
0.16	0	5000
0.15	0	5000
0.14	0	5000
0.13	0	5000
0.12	0	5000
0.11	0	5000
0.1	0	5000
0.09	0	5000
0.08	0	5000
0.07	0	5000
0.06	0	5000
0.05	0	5000
0.04	0	5000
0.03	0	5000
0.02	0	5000
0.01	0	5000
