T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
3.14	116	1036
3.13	136	1016
3.12	132	1020
3.11	100	1052
3.1	118	1034
3.09	116	1036
3.08	124	1028
3.07	128	1024
3.06	102	1050
3.05	126	1026
3.04	142	1010
3.03	136	1016
3.02	104	1048
3.01	118	1034
3	130	1022
2.99	114	1038
2.98	118	1034
2.97	120	1032
2.96	116	1036
2.95	116	1036
2.94	106	1046
2.93	108	1044
2.92	128	1024
2.91	108	1044
2.9	140	1012
2.89	128	1024
2.88	104	1048
2.87	96	1056
2.86	100	1052
2.85	110	1042
2.84	112	1040
2.83	106	1046
2.82	124	1028
2.81	118	1034
2.8	108	1044
2.79	108	1044
2.78	100	1052
2.77	100	1052
2.76	116	1036
2.75	118	1034
2.74	110	1042
2.73	108	1044
2.72	108	1044
2.71	122	1030
2.7	82	1070
2.69	126	1026
2.68	116	1036
2.67	110	1042
2.66	106	1046
2.65	90	1062
2.64	102	1050
2.63	98	1054
2.62	110	1042
2.61	92	1060
2.6	106	1046
2.59	92	1060
2.58	86	1066
2.57	90	1062
2.56	100	1052
2.55	102	1050
2.54	94	1058
2.53	102	1050
2.52	94	1058
2.51	100	1052
2.5	90	1062
2.49	106	1046
2.48	96	1056
2.47	96	1056
2.46	98	1054
2.45	114	1038
2.44	94	1058
2.43	98	1054
2.42	112	1040
2.41	100	1052
2.4	88	1064
2.39	86	1066
2.38	90	1062
2.37	94	1058
2.36	92	1060
2.35	84	1068
2.34	86	1066
2.33	94	1058
2.32	102	1050
2.31	94	1058
2.3	78	1074
2.29	108	1044
2.28	98	1054
2.27	86	1066
2.26	90	1062
2.25	88	1064
2.24	82	1070
2.23	102	1050
2.22	86	1066
2.21	84	1068
2.2	64	1088
2.19	90	1062
2.18	86	1066
2.17	96	1056
2.16	94	1058
2.15	70	1082
2.14	88	1064
2.13	82	1070
2.12	90	1062
2.11	60	1092
2.1	86	1066
2.09	72	1080
2.08	86	1066
2.07	92	1060
2.06	72	1080
2.05	90	1062
2.04	104	1048
2.03	74	1078
2.02	90	1062
2.01	92	1060
2	82	1070
1.99	94	1058
1.98	84	1068
1.97	72	1080
1.96	82	1070
1.95	68	1084
1.94	76	1076
1.93	74	1078
1.92	82	1070
1.91	88	1064
1.9	64	1088
1.89	70	1082
1.88	76	1076
1.87	80	1072
1.86	58	1094
1.85	62	1090
1.84	80	1072
1.83	72	1080
1.82	52	1100
1.81	76	1076
1.8	60	1092
1.79	52	1100
1.78	66	1086
1.77	58	1094
1.76	74	1078
1.75	74	1078
1.74	58	1094
1.73	66	1086
1.72	66	1086
1.71	68	1084
1.7	64	1088
1.69	68	1084
1.68	68	1084
1.67	48	1104
1.66	62	1090
1.65	56	1096
1.64	60	1092
1.63	50	1102
1.62	48	1104
1.61	60	1092
1.6	56	1096
1.59	50	1102
1.58	48	1104
1.57	52	1100
1.56	54	1098
1.55	64	1088
1.54	40	1112
1.53	60	1092
1.52	50	1102
1.51	62	1090
1.5	48	1104
1.49	52	1100
1.48	36	1116
1.47	50	1102
1.46	60	1092
1.45	46	1106
1.44	60	1092
1.43	58	1094
1.42	34	1118
1.41	46	1106
1.4	42	1110
1.39	54	1098
1.38	42	1110
1.37	48	1104
1.36	44	1108
1.35	32	1120
1.34	42	1110
1.33	44	1108
1.32	46	1106
1.31	44	1108
1.3	36	1116
1.29	36	1116
1.28	34	1118
1.27	28	1124
1.26	34	1118
1.25	28	1124
1.24	40	1112
1.23	28	1124
1.22	30	1122
1.21	32	1120
1.2	40	1112
1.19	32	1120
1.18	32	1120
1.17	46	1106
1.16	32	1120
1.15	28	1124
1.14	26	1126
1.13	22	1130
1.12	38	1114
1.11	20	1132
1.1	28	1124
1.09	18	1134
1.08	28	1124
1.07	20	1132
1.06	22	1130
1.05	28	1124
1.04	22	1130
1.03	20	1132
1.02	24	1128
1.01	26	1126
1	26	1126
0.99	18	1134
0.98	26	1126
0.97	20	1132
0.96	20	1132
0.95	18	1134
0.94	14	1138
0.93	18	1134
0.92	6	1146
0.91	20	1132
0.9	18	1134
0.89	16	1136
0.88	22	1130
0.87	14	1138
0.86	12	1140
0.85	16	1136
0.84	4	1148
0.83	8	1144
0.82	4	1148
0.81	12	1140
0.8	4	1148
0.79	10	1142
0.78	6	1146
0.77	8	1144
0.76	10	1142
0.75	8	1144
0.74	4	1148
0.73	4	1148
0.72	12	1140
0.71	10	1142
0.7	0	1152
0.69	6	1146
0.68	0	1152
0.67	4	1148
0.66	0	1152
0.65	4	1148
0.64	0	1152
0.63	2	1150
0.62	2	1150
0.61	2	1150
0.6	0	1152
0.59	0	1152
0.58	2	1150
0.57	0	1152
0.56	0	1152
0.55	0	1152
0.54	0	1152
0.53	0	1152
0.52	2	1150
0.51	0	1152
0.5	0	1152
0.49	0	1152
0.48	2	1150
0.47	0	1152
0.46	0	1152
0.45	0	1152
0.44	0	1152
0.43	0	1152
0.42	0	1152
0.41	0	1152
0.4	0	1152
0.39	0	1152
0.38	0	1152
0.37	0	1152
0.36	0	1152
0.35	0	1152
0.34	0	1152
0.33	0	1152
0.32	0	1152
0.31	0	1152
0.3	0	1152
0.29	0	1152
0.28	0	1152
0.27	0	1152
0.26	0	1152
0.25	0	1152
0.24	0	1152
0.23	0	1152
0.22	0	1152
0.21	0	1152
0.2	0	1152
0.19	0	1152
0.18	0	1152
0.17	0	1152
0.16	0	1152
0.15	0	1152
0.14	0	1152
0.13	0	1152
0.12	0	1152
0.11	0	1152
0.1	0	1152
0.09	0	1152
0.08	0	1152
0.07	0	1152
0.06	0	1152
0.05	0	1152
0.04	0	1152
0.03	0	1152
0.02	0	1152
0.01	0	1152
